,kunnr,xref_x,xref_label,xref_y,rank
419,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
420,2002214045,FAMILY,others,BEAUTY,1
421,2002213981,FABRIC,FABRIC,FABRIC,2
422,2002213918,UNIDENTIFI,others,others,3
423,2002213981,FABRIC,FABRIC,FABRIC,2
424,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
425,2002253691,MULTI GROH,MULTI GROH,MULTI GROH,3
426,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
427,2002214045,BEAUTY,others,BEAUTY,1
428,2002213931,MULTI GROH,MULTI GROH,MULTI GROH,1
429,2002213981,MULTI GROC,others,PHC,1
430,2002213981,MULTI GROH,MULTI GROH,MULTI GROH,4
431,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
432,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
433,2002214045,BEAUTY,others,BEAUTY,1
434,2002213906,FABRIC,FABRIC,FABRIC,1
435,2002213931,MULTI GROH,MULTI GROH,MULTI GROH,1
436,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
437,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
438,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
439,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
440,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
441,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
442,2002213879,BABY,others,FEM CARE,4
443,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
444,2002213896,MULTI GROH,MULTI GROH,MULTI GROH,2
445,2002213879,BABY,others,FEM CARE,4
446,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
447,2002214045,BEAUTY,others,BEAUTY,1
448,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
449,2002213931,MULTI GROH,MULTI GROH,MULTI GROH,1
450,2002214045,BEAUTY,others,BEAUTY,1
451,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
452,2002214045,BEAUTY,others,BEAUTY,1
453,2002214045,BEAUTY,others,BEAUTY,1
454,2002213981,MULTI GROH,MULTI GROH,MULTI GROH,4
455,2002253256,PHC,others,PHC,1
456,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
457,2002214045,BEAUTY,others,BEAUTY,1
458,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
459,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
460,2002213918,UNIDENTIFI,others,others,3
461,2002213918,UNIDENTIFI,others,others,3
462,2002213931,MULTI GROH,MULTI GROH,MULTI GROH,1
463,2002213931,MULTI GROH,MULTI GROH,MULTI GROH,1
464,2002213981,FABRIC,FABRIC,FABRIC,2
465,2002213981,PHC,others,PHC,1
466,2002213931,MULTI GROC,MULTI GROC,MULTI GROC,2
467,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
468,2002213981,MULTI GROH,MULTI GROH,MULTI GROH,4
469,2002213981,MULTI GROH,MULTI GROH,MULTI GROH,4
470,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
471,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
472,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
473,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
474,2002214045,BEAUTY,others,BEAUTY,1
475,999999999,MULTI GROH,MULTI GROH,MULTI GROH,4
476,2002213887,FABRIC,FABRIC,FABRIC,4
477,2002213887,MULTI GROH,MULTI GROH,MULTI GROH,7
478,2002214045,BEAUTY,others,BEAUTY,1
479,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
480,2002214045,BEAUTY,others,BEAUTY,1
481,2002214045,BEAUTY,others,BEAUTY,1
482,2002213896,MULTI GROH,MULTI GROH,MULTI GROH,2
483,2002213896,MULTI GROH,MULTI GROH,MULTI GROH,2
484,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
485,2002214045,BEAUTY,others,BEAUTY,1
486,2002213963,UNIDENTIFI,others,others,4
487,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
488,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
489,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
490,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
491,2002213887,MULTI GROH,MULTI GROH,MULTI GROH,7
492,2002213895,MULTI GROH,MULTI GROH,MULTI GROH,7
493,2002213981,MULTI GROH,MULTI GROH,MULTI GROH,4
